filename,width,height,class,xmin,ymin,xmax,ymax
20191121_163558.jpg,3024,4032,orange,499,1754,1023,2427
20191121_163558.jpg,3024,4032,orange,1221,1476,1437,1784
20191121_163558.jpg,3024,4032,orange,1469,1394,1620,1607
20191121_163602.jpg,3024,4032,orange,837,1482,1732,2799
20191121_163602.jpg,3024,4032,orange,1241,769,1528,1249
20191121_163602.jpg,3024,4032,orange,1395,653,1566,953
20191121_163605.jpg,3024,4032,orange,1595,2615,2187,3378
20191121_163605.jpg,3024,4032,orange,1145,899,1432,1336
20191121_163605.jpg,3024,4032,orange,1053,353,1245,699
20191121_163608.jpg,3024,4032,orange,1866,2111,2366,2732
20191121_163608.jpg,3024,4032,orange,578,1361,895,1774
20191121_163608.jpg,3024,4032,orange,49,1028,332,1319
20191121_163608.jpg,3024,4032,orange,1544,825,1698,1030
20191121_163608.jpg,3024,4032,orange,2287,968,2485,1218
20191121_163611.jpg,3024,4032,orange,1408,1574,1673,1926
20191121_163611.jpg,3024,4032,orange,845,1306,1040,1552
20191121_163611.jpg,3024,4032,orange,2126,1115,2280,1307
20191121_163617.jpg,3024,4032,orange,2485,1584,2833,2075
20191121_163617.jpg,3024,4032,orange,2608,998,2849,1334
20191121_163617.jpg,3024,4032,orange,556,741,788,1032
20191121_163621.jpg,3024,4032,orange,893,1978,1468,2697
20191121_163621.jpg,3024,4032,orange,1774,985,2124,1416
20191121_163625.jpg,3024,4032,orange,1024,2165,1553,2878
20191121_163625.jpg,3024,4032,orange,345,957,582,1278
20191121_163625.jpg,3024,4032,orange,1591,794,1824,1107
20191121_163629.jpg,3024,4032,orange,682,1090,2024,2907
20191121_163716.jpg,3024,4032,yellow,1249,990,2453,2736
20191121_163716.jpg,3024,4032,yellow,770,701,1282,1314
20191121_163716.jpg,3024,4032,orange,931,506,1130,866
20191121_163716.jpg,3024,4032,orange,1308,419,1490,760
20191121_163724.jpg,3024,4032,yellow,1199,903,2370,2561
20191121_163724.jpg,3024,4032,yellow,803,507,1120,924
20191121_163729.jpg,3024,4032,blue,357,1674,857,2269
20191121_163729.jpg,3024,4032,yellow,1720,1224,2066,1624
20191121_163729.jpg,3024,4032,blue,2345,1007,2657,1336
20191121_163734.jpg,3024,4032,blue,1,1769,1116,3424
20191121_163734.jpg,3024,4032,yellow,1487,1344,1878,1890
20191121_163734.jpg,3024,4032,blue,1807,1232,2087,1624
20191121_163740.jpg,3024,4032,blue,16,778,1949,3703
20191121_163740.jpg,3024,4032,yellow,2316,686,2857,1399
20191121_163740.jpg,3024,4032,blue,2782,679,3018,1127
20191121_163756.jpg,3024,4032,orange,1187,1303,1606,1809
20191121_163756.jpg,3024,4032,orange,2575,1185,2987,1672
20191121_163756.jpg,3024,4032,yellow,2375,2291,3024,3066
20191121_163756.jpg,3024,4032,orange,1600,747,1918,1147
20191121_163756.jpg,3024,4032,yellow,1018,560,1312,903
20191121_163756.jpg,3024,4032,orange,143,697,437,985
20191121_163756.jpg,3024,4032,yellow,387,341,587,584
20191121_163759.jpg,3024,4032,orange,1236,3035,1899,3853
20191121_163759.jpg,3024,4032,yellow,943,1716,1336,2228
20191121_163759.jpg,3024,4032,blue,749,1147,1068,1553
20191121_163759.jpg,3024,4032,orange,1743,991,2036,1260
20191121_163759.jpg,3024,4032,yellow,1930,560,2124,816
20191121_163759.jpg,3024,4032,yellow,2711,903,3024,1272
20191121_163759.jpg,3024,4032,orange,1655,353,1880,678
20191121_163759.jpg,3024,4032,yellow,693,797,924,1116
20191121_163759.jpg,3024,4032,blue,636,616,836,872
20191121_163759.jpg,3024,4032,orange,649,391,868,710
20191121_163803.jpg,3024,4032,yellow,1679,2935,2411,3816
20191121_163803.jpg,3024,4032,blue,537,1909,1068,2509
20191121_163803.jpg,3024,4032,orange,1480,1372,1830,1722
20191121_163803.jpg,3024,4032,yellow,2455,1097,2868,1510
20191121_163803.jpg,3024,4032,yellow,1193,810,1430,1091
20191121_163803.jpg,3024,4032,orange,749,597,999,953
20191121_163803.jpg,3024,4032,yellow,1,1304,288,1742
20191121_163808.jpg,3024,4032,yellow,349,779,674,1142
20191121_163808.jpg,3024,4032,yellow,2643,772,3024,1266
20191121_163808.jpg,3024,4032,blue,755,822,2442,3210
20191121_163808.jpg,3024,4032,orange,1780,960,1980,1485
20191121_163812.jpg,3024,4032,yellow,1275,2472,1862,3203
20191121_163812.jpg,3024,4032,yellow,2343,1316,2668,1691
20191121_163812.jpg,3024,4032,blue,555,1853,955,2328
20191121_163812.jpg,3024,4032,orange,194,1335,569,1872
20191121_163816.jpg,3024,4032,yellow,1587,560,1968,1066
20191121_163816.jpg,3024,4032,blue,617,2733,1467,3727
20191121_163819.jpg,3024,4032,orange,605,510,2405,3747
20191121_163827.jpg,3024,4032,yellow,355,1570,899,2164
20191121_163827.jpg,3024,4032,yellow,1499,947,1743,1260
20191121_163827.jpg,3024,4032,orange,2622,928,2865,1216
20191121_163827.jpg,3024,4032,orange,2443,791,2599,1016
20191121_163827.jpg,3024,4032,orange,1710,835,1879,1073
20191121_163827.jpg,3024,4032,orange,1933,746,2079,950
20191121_163827.jpg,3024,4032,yellow,2536,731,2671,923
20191121_163837.jpg,3024,4032,blue,980,866,1255,1185
20191121_163837.jpg,3024,4032,blue,1205,1510,1561,1985
20191121_163842.jpg,3024,4032,yellow,980,2273,1393,2810
20191121_163842.jpg,3024,4032,orange,1461,1447,1686,1716
20191121_163842.jpg,3024,4032,orange,718,1378,930,1641
20191121_163842.jpg,3024,4032,orange,755,1697,1018,2028
20191121_163842.jpg,3024,4032,orange,909,1909,1242,2313
20191121_163842.jpg,3024,4032,yellow,2037,1489,2314,1780
20191121_163842.jpg,3024,4032,orange,2195,1361,2409,1618
20191121_163844.jpg,3024,4032,blue,1568,1391,1855,1753
20191121_163851.jpg,3024,4032,yellow,2143,2128,2412,2478
20191121_163851.jpg,3024,4032,orange,1168,1747,1443,2141
20191121_163851.jpg,3024,4032,blue,16,2128,323,2497
20191121_163855.jpg,4032,3024,yellow,3101,2192,3573,2825
20191121_163855.jpg,4032,3024,yellow,2311,1225,2540,1545
20191121_163855.jpg,4032,3024,orange,1378,912,1653,1306
20191121_163855.jpg,4032,3024,blue,203,1346,528,1704
20191121_163908.jpg,4032,3024,yellow,430,1535,892,2021
20191121_163908.jpg,4032,3024,yellow,3211,1678,3635,2230
20191121_163908.jpg,4032,3024,blue,2578,939,2827,1220
20191121_163908.jpg,4032,3024,blue,2188,731,2365,931
20191121_163908.jpg,4032,3024,yellow,1755,625,1880,782
20191121_163908.jpg,4032,3024,yellow,941,726,1118,924
20191121_163908.jpg,4032,3024,yellow,441,1002,706,1316
20191121_163908.jpg,4032,3024,orange,8,786,233,1106
20191121_163915.jpg,4032,3024,yellow,3411,1797,3887,2449
20191121_163915.jpg,4032,3024,yellow,364,1568,873,2102
20191121_163915.jpg,4032,3024,orange,87,802,330,1130
20191121_163915.jpg,4032,3024,blue,2702,954,2973,1283
20191121_163915.jpg,4032,3024,blue,2316,773,2497,987
20191121_163915.jpg,4032,3024,yellow,1035,740,1235,992
20191121_163915.jpg,4032,3024,yellow,1878,674,2012,836
20191121_163915.jpg,4032,3024,yellow,478,1025,768,1349
20191121_163922.jpg,4032,3024,blue,1494,2135,2194,3002
20191121_163922.jpg,4032,3024,blue,2815,1030,3225,1502
20191121_163922.jpg,4032,3024,yellow,1528,454,1725,723
20191121_163922.jpg,4032,3024,yellow,3122,481,3376,752
20191121_163926.jpg,4032,3024,yellow,539,983,825,1326
20191121_163926.jpg,4032,3024,yellow,2039,739,2235,1002
20191121_163926.jpg,4032,3024,yellow,3368,787,3630,1111
20191121_163926.jpg,4032,3024,blue,1382,2088,1987,2821
20191121_163937.jpg,4032,3024,yellow,3064,1125,3373,1463
20191121_163937.jpg,4032,3024,yellow,3301,2287,3887,3016
20191121_163937.jpg,4032,3024,blue,692,1392,1054,1773
20191121_163937.jpg,4032,3024,yellow,702,811,868,1016
20191121_163937.jpg,4032,3024,yellow,1678,749,1825,949
20191121_163937.jpg,4032,3024,yellow,2221,811,2430,1054
20191121_163937.jpg,4032,3024,orange,2468,741,2739,1088
20191121_163942.jpg,4032,3024,yellow,1087,2153,1625,2844
20191121_163942.jpg,4032,3024,blue,530,959,745,1187
